kind,entity_id,campaign_id,ad_group_id,field,from_value,to_value,snapshot_prev
budget_changed,78495635228839,78495635228839,,budget.amount,700.0,400.0,
budget_changed,2145822977568,2145822977568,,budget.amount,1200.0,600.0,
budget_changed,420588504416118,420588504416118,,budget.amount,950.0,400.0,
budget_changed,541108197666561,541108197666561,,budget.amount,1600.0,1000.0,
budget_changed,314912537806505,314912537806505,,budget.amount,650.0,400.0,
budget_changed,20557174629775,20557174629775,,budget.amount,700.0,500.0,
budget_changed,102823122727955,102823122727955,,budget.amount,1100.0,400.0,
budget_changed,489228562508004,489228562508004,,budget.amount,600.0,250.0,
removed,167719418151302,332586169091855,348815637218393,*,row_existed,,"{'adGroupId': '348815637218393', 'bid': 4.31, 'campaignId': '332586169091855', 'expression': [{'type': 'ASIN_SAME_AS', 'value': 'B0BB5BKRDY'}], 'expressionType': 'MANUAL', 'resolvedExpression': [{'type': 'ASIN_SAME_AS', 'value': 'B0BB5BKRDY'}], 'state': 'ENABLED', 'targetId': '167719418151302'}"
removed,214177907929172,432229661709605,433521624557652,*,row_existed,,"{'adGroupId': '433521624557652', 'bid': 1.87, 'campaignId': '432229661709605', 'expression': [{'type': 'ASIN_SAME_AS', 'value': 'B08G8WH435'}], 'expressionType': 'MANUAL', 'resolvedExpression': [{'type': 'ASIN_SAME_AS', 'value': 'B08G8WH435'}], 'state': 'PAUSED', 'targetId': '214177907929172'}"
removed,170478953275765,108058378659029,19578175222729,*,row_existed,,"{'adGroupId': '19578175222729', 'bid': 8.0, 'campaignId': '108058378659029', 'expression': [{'type': 'ASIN_SAME_AS', 'value': 'B0FR9JS2XJ'}], 'expressionType': 'MANUAL', 'resolvedExpression': [{'type': 'ASIN_SAME_AS', 'value': 'B0FR9JS2XJ'}], 'state': 'ENABLED', 'targetId': '170478953275765'}"
removed,165991803869113,461163749661726,498779170152876,*,row_existed,,"{'adGroupId': '498779170152876', 'bid': 6.23, 'campaignId': '461163749661726', 'expression': [{'type': 'ASIN_SAME_AS', 'value': 'B099ZN25CC'}], 'expressionType': 'MANUAL', 'resolvedExpression': [{'type': 'ASIN_SAME_AS', 'value': 'B099ZN25CC'}], 'state': 'ENABLED', 'targetId': '165991803869113'}"
removed,189266070142204,342535158419675,452951158776828,*,row_existed,,"{'adGroupId': '452951158776828', 'bid': 20.6, 'campaignId': '342535158419675', 'expression': [{'type': 'ASIN_SAME_AS', 'value': 'B0BXLMCVS2'}], 'expressionType': 'MANUAL', 'resolvedExpression': [{'type': 'ASIN_SAME_AS', 'value': 'B0BXLMCVS2'}], 'state': 'PAUSED', 'targetId': '189266070142204'}"
removed,277370111122177,449165215650046,541748322079591,*,row_existed,,"{'adGroupId': '541748322079591', 'bid': 7.55, 'campaignId': '449165215650046', 'expression': [{'type': 'ASIN_EXPANDED_FROM', 'value': 'B07WLWN2ZT'}], 'expressionType': 'MANUAL', 'resolvedExpression': [{'type': 'ASIN_EXPANDED_FROM', 'value': 'B07WLWN2ZT'}], 'state': 'ENABLED', 'targetId': '277370111122177'}"
removed,276496745455943,42772852143245,133032309441412,*,row_existed,,"{'adGroupId': '133032309441412', 'bid': 5.68, 'campaignId': '42772852143245', 'expression': [{'type': 'ASIN_SAME_AS', 'value': 'B00167UQMI'}], 'expressionType': 'MANUAL', 'resolvedExpression': [{'type': 'ASIN_SAME_AS', 'value': 'B00167UQMI'}], 'state': 'ENABLED', 'targetId': '276496745455943'}"
removed,207890737531166,484596475145275,490175454758281,*,row_existed,,"{'adGroupId': '490175454758281', 'campaignId': '484596475145275', 'expression': [{'type': 'ASIN_SAME_AS', 'value': 'B00WU6H9VU'}], 'expressionType': 'MANUAL', 'resolvedExpression': [{'type': 'ASIN_SAME_AS', 'value': 'B00WU6H9VU'}], 'state': 'ENABLED', 'targetId': '207890737531166'}"
removed,142588798992509,527866089316418,544264169772545,*,row_existed,,"{'adGroupId': '544264169772545', 'bid': 2.15, 'campaignId': '527866089316418', 'expression': [{'type': 'ASIN_SAME_AS', 'value': 'B09ZBH48ZY'}], 'expressionType': 'MANUAL', 'resolvedExpression': [{'type': 'ASIN_SAME_AS', 'value': 'B09ZBH48ZY'}], 'state': 'PAUSED', 'targetId': '142588798992509'}"
removed,131752442045767,388228545428693,332257791620212,*,row_existed,,"{'adGroupId': '332257791620212', 'bid': 15.99, 'campaignId': '388228545428693', 'expression': [{'type': 'ASIN_SAME_AS', 'value': 'B09V51G6YD'}], 'expressionType': 'MANUAL', 'resolvedExpression': [{'type': 'ASIN_SAME_AS', 'value': 'B09V51G6YD'}], 'state': 'PAUSED', 'targetId': '131752442045767'}"
removed,124210918840562,481502395507000,550610329818109,*,row_existed,,"{'adGroupId': '550610329818109', 'bid': 15.99, 'campaignId': '481502395507000', 'expression': [{'type': 'ASIN_EXPANDED_FROM', 'value': 'B08KJCHB5R'}], 'expressionType': 'MANUAL', 'resolvedExpression': [{'type': 'ASIN_EXPANDED_FROM', 'value': 'B08KJCHB5R'}], 'state': 'PAUSED', 'targetId': '124210918840562'}"
removed,269917022832557,340407688252560,368133281956137,*,row_existed,,"{'adGroupId': '368133281956137', 'bid': 4.8, 'campaignId': '340407688252560', 'expression': [{'type': 'ASIN_SAME_AS', 'value': 'B09KPVXBDY'}], 'expressionType': 'MANUAL', 'resolvedExpression': [{'type': 'ASIN_SAME_AS', 'value': 'B09KPVXBDY'}], 'state': 'ENABLED', 'targetId': '269917022832557'}"
removed,21208355933843,248764226916923,128171464064648,*,row_existed,,"{'adGroupId': '128171464064648', 'bid': 4.0, 'campaignId': '248764226916923', 'expression': [{'type': 'ASIN_EXPANDED_FROM', 'value': 'B09WN4Q87W'}], 'expressionType': 'MANUAL', 'resolvedExpression': [{'type': 'ASIN_EXPANDED_FROM', 'value': 'B09WN4Q87W'}], 'state': 'ENABLED', 'targetId': '21208355933843'}"
removed,207908819444573,322424724443053,543268489395682,*,row_existed,,"{'adGroupId': '543268489395682', 'bid': 9.29, 'campaignId': '322424724443053', 'expression': [{'type': 'ASIN_SAME_AS', 'value': 'B0CB6B8XNH'}], 'expressionType': 'MANUAL', 'resolvedExpression': [{'type': 'ASIN_SAME_AS', 'value': 'B0CB6B8XNH'}], 'state': 'ENABLED', 'targetId': '207908819444573'}"
removed,201780884172698,493894775292926,503617060679261,*,row_existed,,"{'adGroupId': '503617060679261', 'bid': 7.48, 'campaignId': '493894775292926', 'expression': [{'type': 'ASIN_SAME_AS', 'value': 'B08Q7GLXZT'}], 'expressionType': 'MANUAL', 'resolvedExpression': [{'type': 'ASIN_SAME_AS', 'value': 'B08Q7GLXZT'}], 'state': 'ENABLED', 'targetId': '201780884172698'}"
removed,161425212609244,555240770220785,520980690009467,*,row_existed,,"{'adGroupId': '520980690009467', 'bid': 5.45, 'campaignId': '555240770220785', 'expression': [{'type': 'ASIN_SAME_AS', 'value': 'B09PJFL31X'}], 'expressionType': 'MANUAL', 'resolvedExpression': [{'type': 'ASIN_SAME_AS', 'value': 'B09PJFL31X'}], 'state': 'ENABLED', 'targetId': '161425212609244'}"
removed,9013677461386,293392351601747,557321688025238,*,row_existed,,"{'adGroupId': '557321688025238', 'bid': 15.99, 'campaignId': '293392351601747', 'expression': [{'type': 'ASIN_SAME_AS', 'value': 'B09VTKC91H'}], 'expressionType': 'MANUAL', 'resolvedExpression': [{'type': 'ASIN_SAME_AS', 'value': 'B09VTKC91H'}], 'state': 'PAUSED', 'targetId': '9013677461386'}"
removed,213135056326316,248764226916923,128171464064648,*,row_existed,,"{'adGroupId': '128171464064648', 'bid': 4.0, 'campaignId': '248764226916923', 'expression': [{'type': 'ASIN_SAME_AS', 'value': 'B07JHDKXK4'}], 'expressionType': 'MANUAL', 'resolvedExpression': [{'type': 'ASIN_SAME_AS', 'value': 'B07JHDKXK4'}], 'state': 'ENABLED', 'targetId': '213135056326316'}"
removed,126652104858901,327939506031198,501957509758028,*,row_existed,,"{'adGroupId': '501957509758028', 'bid': 2.21, 'campaignId': '327939506031198', 'expression': [{'type': 'ASIN_SAME_AS', 'value': 'B07TYKT8DQ'}], 'expressionType': 'MANUAL', 'resolvedExpression': [{'type': 'ASIN_SAME_AS', 'value': 'B07TYKT8DQ'}], 'state': 'PAUSED', 'targetId': '126652104858901'}"
removed,263767897823525,441760761201815,419864827660597,*,row_existed,,"{'adGroupId': '419864827660597', 'bid': 17.73, 'campaignId': '441760761201815', 'expression': [{'type': 'ASIN_SAME_AS', 'value': 'B09B5D4FH1'}], 'expressionType': 'MANUAL', 'resolvedExpression': [{'type': 'ASIN_SAME_AS', 'value': 'B09B5D4FH1'}], 'state': 'PAUSED', 'targetId': '263767897823525'}"
removed,211447701585541,448354657351285,433118493609692,*,row_existed,,"{'adGroupId': '433118493609692', 'bid': 12.08, 'campaignId': '448354657351285', 'expression': [{'type': 'ASIN_SAME_AS', 'value': 'B0DJVW11NL'}], 'expressionType': 'MANUAL', 'resolvedExpression': [{'type': 'ASIN_SAME_AS', 'value': 'B0DJVW11NL'}], 'state': 'ENABLED', 'targetId': '211447701585541'}"
removed,260925453909523,381037702387504,344200571977040,*,row_existed,,"{'adGroupId': '344200571977040', 'bid': 7.28, 'campaignId': '381037702387504', 'expression': [{'type': 'ASIN_SAME_AS', 'value': 'B09R44CKQ4'}], 'expressionType': 'MANUAL', 'resolvedExpression': [{'type': 'ASIN_SAME_AS', 'value': 'B09R44CKQ4'}], 'state': 'ENABLED', 'targetId': '260925453909523'}"
removed,114523339283402,196132871279865,145116412891474,*,row_existed,,"{'adGroupId': '145116412891474', 'bid': 6.0, 'campaignId': '196132871279865', 'expression': [{'type': 'ASIN_SAME_AS', 'value': 'B07BCKL4RS'}], 'expressionType': 'MANUAL', 'resolvedExpression': [{'type': 'ASIN_SAME_AS', 'value': 'B07BCKL4RS'}], 'state': 'ENABLED', 'targetId': '114523339283402'}"
removed,228644515860171,310137659273598,430694528836118,*,row_existed,,"{'adGroupId': '430694528836118', 'bid': 6.34, 'campaignId': '310137659273598', 'expression': [{'type': 'ASIN_SAME_AS', 'value': 'B09Z8HJPDR'}], 'expressionType': 'MANUAL', 'resolvedExpression': [{'type': 'ASIN_SAME_AS', 'value': 'B09Z8HJPDR'}], 'state': 'ENABLED', 'targetId': '228644515860171'}"
