kind,entity_id,campaign_id,ad_group_id,field,from_value,to_value,keyword_text,match_type,target_expression
budget_changed,129974340009862,129974340009862,,budget.amount,200.0,450.0,,,
budget_changed,220795113354282,220795113354282,,budget.amount,200.0,450.0,,,
budget_changed,174578235062534,174578235062534,,budget.amount,200.0,450.0,,,
bid_changed,218614253821498,129974340009862,211857447528930,bid,15.2,16.56,aata maker atta maker,PHRASE,
bid_changed,97897199041270,174578235062534,7205273127417,bid,15.2,16.86,atta dough maker,EXACT,
bid_changed,100719951350343,129974340009862,211857447528930,bid,15.2,16.56,atta kneader dough maker,PHRASE,
bid_changed,270801242688985,129974340009862,211857447528930,bid,15.2,16.56,atta maker,PHRASE,
bid_changed,1484144156199,202788280450235,74966986051477,bid,16.05,17.56,stand mixer,EXACT,
bid_changed,164725597730399,202788280450235,74966986051477,bid,16.33,17.56,stand mixer for baking,EXACT,
bid_changed,184435562986026,174578235062534,7205273127417,bid,15.2,16.86,dough maker machine for home,EXACT,
bid_changed,273938305988998,174578235062534,7205273127417,bid,15.2,16.86,ata maker machine,EXACT,
bid_changed,56089441857880,220795113354282,2143823840950,bid,15.2,16.86,+atta +dough +maker +machine +for +home,BROAD,
bid_changed,272501921012997,174578235062534,7205273127417,bid,15.2,16.86,stand mixer dough maker,EXACT,
bid_changed,262355067028047,129974340009862,211857447528930,bid,15.2,16.56,dough maker,PHRASE,
bid_changed,181790310185783,96208966240521,218529522958441,bid,23.12,24.12,,,ASIN_SAME_AS=B096V98SH8
bid_changed,92627942539152,96208966240521,218529522958441,bid,23.12,24.13,,,ASIN_SAME_AS=B0DQCMFPG8
bid_changed,132066144081147,215800428741032,52609440446952,bid,18.12,18.86,,,ASIN_EXPANDED_FROM=B0977CGNJJ
