SKU,Model,(Parent) ASIN,(Child) ASIN,Title,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer Percentage,Featured Offer Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
FBA79682,HU-02,B0DVC8NYY2,B0DVC8NYY2,"NexLev Cool Mist Humidifier | 2.2L| For Office, Indoor Plants, Baby Nursery | Quiet Operation | Works 30Hrs on Low Setting | 360° Nozzle | Auto Shut-Off | Adjustable Knob | Leak Proof | HU-02",416,27,0.13%,0.57%,541,33,0.13%,0.52%,89.60%,100.00%,17,14,4.09%,51.85%,"₹ 29,777.34","₹ 28,840.26",7,4
FBA79778,AP-03 HEPA,B0F67BW7SF,B0F67BW7SF,NexLev Smart Air Purifier HEPA Filter for Model AP220,211,10,0.07%,0.21%,274,12,0.07%,0.19%,98.81%,100.00%,8,0,3.79%,0.00%,"₹ 7,450.85",₹ 0.00,7,0
FBA79589,SS-02,B0DNJP9T35,B0DNJP9T35,"NexLev Spin Scrubber|6 Scrubbing Heads| For Kitchen, Bathroom, Tub, Glass | Complete cleaning tool for Home, Office & Car| 90 min runtime | 2600 mAh | Cordless Type C | 2 Modes|Adjustable Handle|SS-02",293,0,0.09%,0.00%,413,0,0.10%,0.00%,91.29%,0.00%,6,0,2.05%,0.00%,"₹ 10,418.64",₹ 0.00,6,0
FBA79714,SC-04 Set of 2 Mops,B0F2N1HTBT,B0F2N1HTBT,NexLev Replacement Mop Cloth Pads (Set of 2) | Compatible with NexLev 10-in-1 Steam Cleaner & Mop SC-04 | Reusable Microfiber Pads for Floor Deep Cleaning | Washable & Durable | For All Floor Types,187,8,0.06%,0.17%,203,8,0.05%,0.13%,99.49%,100.00%,6,0,3.21%,0.00%,"₹ 2,415.25",₹ 0.00,6,0
FBA79333,HM-02,B0D63DTKQB,B0D63DTKQB,NexLev 2 in 1 Scalp Massager & red Light Therapy |LED Massage Comb for Hair Growth | 96 Tangle Free Silicone Kneading Nodes | Hand Like Head Massage | 120 Min Runtime | Type C | Washable Heads | HM-02,118,3,0.04%,0.06%,168,7,0.04%,0.11%,100.00%,100.00%,5,1,4.24%,33.33%,"₹ 5,927.97","₹ 1,399.00",5,1
FBA79472,CM-02-PR,B0DFCDZWND,B0DFCDZWND,NexLev Cordless Electric Heating Pad| Period Cramp & Back Pain Relief Massager | 9 modes| Menstrual Cramp Relief|Type C| Crampfree Periods | Portable | Gift for Women| Strap upto 40 Inch |Purple CM-02,562,16,0.18%,0.33%,773,17,0.19%,0.27%,50.93%,60.00%,5,0,0.89%,0.00%,"₹ 5,843.22",₹ 0.00,5,0
FBA79689,CFM-02,B0DVSZ2VVJ,B0DVSZ2VVJ,"NexLev Calf Massager Pro|Complete Feet Calf Knee and Thigh Massage|Hand like Massage with Air Compression and Heat Therapy|Pain Relief,Muscle Recovery & Enhanced Blood Circulation|3 Intensities|CFM-02",925,30,0.29%,0.63%,"1,083",39,0.26%,0.61%,99.30%,100.00%,5,1,0.54%,3.33%,"₹ 25,419.49","₹ 5,999.00",5,1
FBA79346,ETC-04-WH,B0D25LNDSY,B0D25LNDSY,Nexlev Rechargeable Electric Toothbrush| 120 Days Life | 35K strokes/min| Type C| 5 Modes for Daily Use| 2 Min timer with 30sec Quadpacer | 4 Brushheads| IPX7 Waterproof| For Men & Women | ETC-04 White,196,4,0.06%,0.08%,285,7,0.07%,0.11%,80.82%,100.00%,4,0,2.04%,0.00%,"₹ 2,708.47",₹ 0.00,4,0
FBA79443,LE-03,B0D9KFQG8Q,B0D9KFQG8Q,"Nexlev Skin Scrubber |Red & Blue LED Therapy| Blackhead Remover| Pore Cleaner| Skin Lifting & tightening, wrinkle remover| 2 Silicone Cleaning Heads| Facial Cleansing|Type C Charging| Elixir Pro LE-03",483,9,0.15%,0.19%,725,9,0.18%,0.14%,98.83%,100.00%,4,0,0.83%,0.00%,"₹ 5,759.32",₹ 0.00,4,0
FBA79483,TM-03,B0DK9NRBWJ,B0DK9NRBWJ,NexLev Intimate Trimmer for Men|Ceramic Blade|120 Min Runtime|Type C Charge | IPX7 Waterproof | 7000RPM Copper Motor| Cordless|LED Light| Travel Lock| Wet/Dry Groin & Body Shaver | Intimate Pro TM-03,189,2,0.06%,0.04%,262,2,0.06%,0.03%,94.07%,100.00%,4,0,2.12%,0.00%,"₹ 1,777.97",₹ 0.00,4,0
